TYPE SHA SHB XAB XBA PERIOD
M4C0 0.04278469491785191, 0.036529864828886496, 0.04301538669417021, 0.03684771933334025, 73888
M4C1 0.07545811191289675 0.07557001656587252 0.07597790641594808 0.07575818061587374 64570
M4C2 0.007297032287867511 0.03244366640833447 0.01303255516943422 0.0378656279759921 73298
