Period SHA SHB XAB XBA DIAp DIBp
89 0.0734522834671878 0.06265931962898981 4 5 0.5197553204989079 0.480244679501092
90 0.07037119966915235 0.0601178594993516 4 5 0.509727063344007 0.49027293665599303
91 0.06733840929672773 0.057597728042657836 4 5 0.5088049874901848 0.4911950125098152
92 0.06426450108889545 0.055010851226918525 4 5 0.4959785368071751 0.5040214631928248
93 0.06134226291578007 0.052551294665600524 4 5 0.49411233828733203 0.5058876617126681
94 0.058425564240391414 0.050074144111891365 4 5 0.49835185455873793 0.5016481454412621
95 0.05574568108459759 0.04781183186654882 4 5 0.5058108569998071 0.4941891430001928
96 0.053453979688326374 0.045916822899508714 4 5 0.5126037057395202 0.4873962942604798
97 0.05107292732555369 0.043912628365725376 4 5 0.5038819498338569 0.49611805016614313
98 0.04893136496240768 0.042129080947121776 4 5 0.5095709278178568 0.49042907218214316
99 0.04717892597039638 0.0407167561547366 4 5 0.5169133798507769 0.48308662014922327
100 0.045377825513366686 0.03923876418811429 4 5 0.5099631268780038 0.4900368731219962
101 0.043694694250836615 0.03786258599172289 4 5 0.512171845013531 0.4878281549864689
102 0.04206038548931299 0.036519882643114045 4 5 0.5108219741418963 0.4891780258581036
103 0.04066346877144075 0.03539999106753826 4 5 0.5158927876593152 0.4841072123406849
104 0.03931078719217792 0.034310483373466094 4 5 0.5135599398676781 0.4864400601323219
105 0.03836271052297014 0.03361242189519244 4 5 0.5240272841463359 0.4759727158536641
106 0.03729372277859566 0.03278094858220636 4 5 0.5155571240588381 0.4844428759411619
107 0.03607484732365598 0.03178771183708598 4 5 0.5110785429092324 0.4889214570907675
108 0.03480023998486648 0.030727461272624934 4 5 0.5095762879295931 0.49042371207040686
109 0.03330617471070557 0.02943703493407609 4 5 0.49783841921082944 0.5021615807891706
110 0.032002666545749764 0.028326983757951753 4 5 0.4914958135969007 0.5085041864030992
111 0.030888667920056987 0.027396769271648875 4 5 0.4888866511120156 0.5111133488879844
112 0.02962597198778493 0.026308668271797224 4 5 0.496323848115014 0.5036761518849862
113 0.028852269413366147 0.025700830883177827 4 5 0.4813750708503242 0.5186249291496758
114 0.028673533458087066 0.025679666854408163 4 5 0.46877664160154625 0.5312233583984538
115 0.02872214643591063 0.025877973162415673 4 5 0.4677209069500159 0.5322790930499841
116 0.028978741760828253 0.026276777151008044 4 5 0.4635288769099109 0.5364711230900892
117 0.029145330877130365 0.026578464497801168 4 5 0.4679716869415702 0.5320283130584298
118 0.02906688700105647 0.026628363940693733 5 5 0.47437275695911335 0.5256272430408867
119 0.02888373199324902 0.04306713508590444 5 5 0.4752976405491785 0.5247023594508214
120 0.028305529419777955 0.047224762357800605 5 5 0.48645995323483604 0.513540046765164
121 0.027477707529286167 0.047247828820407685 5 5 0.49085818630745587 0.5091418136925441
122 0.02711999738783993 0.04649457311440537 5 5 0.4750813568650295 0.5249186431349704
123 0.027072153658099587 0.045673677563336755 5 5 0.4705206572092216 0.5294793427907785
124 0.026826395501292587 0.044562416609717895 5 5 0.4795103636359718 0.5204896363640282
125 0.02641132917258671 0.043281858447079255 5 5 0.48301020900768415 0.5169897909923158
126 0.02544670483684895 0.04148073969070807 5 5 0.49847640952747924 0.5015235904725208
127 0.02477770390320677 0.040012357588593034 5 5 0.48527656340466513 0.5147234365953349
128 0.024625930829382824 0.03909961761999241 5 5 0.47309055152635443 0.5269094484736456
129 0.024379069634662492 0.038129324796274164 5 5 0.4810397470694605 0.5189602529305394
130 0.0239600326490192 0.03702285844702603 5 5 0.4856044596465841 0.514395540353416
131 0.023707949733958542 0.03611766176224203 5 5 0.47933496140361637 0.5206650385963836
132 0.023764611047853657 0.03555384655638138 5 5 0.4718210417013865 0.5281789582986134
133 0.02402997072918933 0.035229747459237945 5 5 0.46837239910507095 0.5316276008949289
134 0.02387703154184657 0.03451682042438536 5 5 0.4827613766064743 0.5172386233935257
135 0.02323501041750139 0.033342810182280795 5 5 0.49376345855943526 0.5062365414405646
136 0.02279802590238633 0.03240043578662806 5 5 0.4835556982923197 0.5164443017076802
137 0.022130738173666578 0.03125302759923765 5 5 0.49292603683337083 0.5070739631666292
138 0.02143403603909936 0.030100211005120545 5 5 0.4923069000847196 0.5076930999152803
139 0.020751472501855377 0.028984338723445965 5 5 0.4923062791135554 0.5076937208864446
140 0.019999937867635854 0.027821160779424165 5 5 0.49522353443882966 0.5047764655611704
141 0.019155319872322593 0.026585481638942983 5 5 0.49815193845211025 0.5018480615478897
142 0.018463361764829232 0.025522015443257696 5 5 0.5065009954472773 0.49349900455272255
143 0.017732741573312824 0.024438462567865766 5 5 0.5031767058880163 0.49682329411198367
144 0.01720304775954135 0.023573482704381792 5 5 0.5088909836053 0.4911090163947
145 0.016620087558410962 0.02267200075601438 5 5 0.5048303305888365 0.49516966941116347
146 0.01602746157081749 0.02177677910854239 5 5 0.5044516657172022 0.49554833428279776
147 0.015510821646400661 0.02097267330723986 5 5 0.5062444934944276 0.4937555065055725
148 0.015289377751706766 0.02047813682950418 5 5 0.5139434923262183 0.4860565076737818
149 0.015227812495555583 0.020157133619463186 5 5 0.5157591381671979 0.4842408618328021
150 0.015561106638702877 0.02024396170641512 5 5 0.5261432293803576 0.4738567706196423
151 0.015943078969986323 0.020391791284312958 5 5 0.5242055057516156 0.47579449424838444
152 0.016167921452446093 0.0203941981510564 5 5 0.5193693121847561 0.480630687815244
153 0.016917658788863785 0.020932621652543573 5 5 0.5369961996007121 0.463003800399288
154 0.017879573079662515 0.021693787800158314 5 5 0.5392004001593551 0.46079959984064484
155 0.018853509019402432 0.02247701300387344 5 5 0.5385255002346426 0.46147449976535726
156 0.019881796936106762 0.02332412572135422 5 5 0.5410470167195711 0.45895298328042894
157 0.02082135035849594 0.024091562704481026 5 5 0.5388856169049074 0.46111438309509256
158 0.02158364934224918 0.02469035107093501 5 5 0.5353110370558741 0.46468896294412587
159 0.02210417242271906 0.0250555390649706 5 5 0.5304422606675329 0.46955773933246703
160 0.022480659125092346 0.02528445743523131 5 5 0.5289028028123355 0.4710971971876646
161 0.022631282795369963 0.025294891190001976 5 5 0.5238090051446722 0.4761909948553278
162 0.022578701926128018 0.02510912990102843 5 5 0.5199498964779066 0.48005010352209343
163 0.022469093239572045 0.024872999815727437 5 5 0.5200988463780808 0.4799011536219193
164 0.02221056659542527 0.02449427784277289 5 5 0.5160166758367936 0.4839833241632065
165 0.022107134661408775 0.024276660346389017 5 5 0.5218687924203111 0.4781312075796889
166 0.021712109714316655 0.023773159115047883 5 5 0.5114542416781589 0.48854575832184116
