TYPE SHA SHB XAB XBA PERIOD
M4C1 0.07545811191289675 0.07557001656587252 0.07597790641594808 0.07575818061587374 64570
M8C1 0.550083424927191 0.5478204413453945 0.6745505361750853 0.6793787532382465 8491
M12C1 0.45768543640488246 0.4579519503095476 0.6785571667140681 0.677909450925753 4464
