Period SHA SHB XAB XBA DIAp DIBp
0 0.19165000000000001 0.19215262067780184 0 0 0.5152309296303588 0.4847690703696413
1 0.182612 0.1843568074119059 0 0 0.533377361949077 0.4666226380509229
2 0.173661085 0.1769856624807897 0 0 0.5378422901830616 0.4621577098169385
3 0.16503732679999997 0.170805842884637 0 0 0.5624258797835956 0.43757412021640446
4 0.15680502815649996 0.16534769334182353 0 0 0.5667036253701744 0.4332963746298257
5 0.14897123408851995 0.16023781475392634 0 0 0.5648605763856341 0.4351394236143659
6 0.14152480330624279 0.15570946746825867 0 0 0.5739868619968065 0.42601313800319346
7 0.13444926634523977 0.15236982344030453 0 0 0.5998866668572529 0.4001133331427471
8 0.12772703508539976 0.14957928139939644 0 1 0.6018431953668404 0.39815680463315956
9 0.13784075991007905 0.14767492804063323 0 1 0.6206481059982206 0.3793518940017795
10 0.13639374718562836 0.1464056384022516 1 1 0.6295404614833889 0.3704595385166111
11 0.1313709181657945 0.1617599010029371 1 1 0.6259628420846532 0.3740371579153468
12 0.12539533550952245 0.16561598301083916 1 1 0.6351962838238049 0.36480371617619517
13 0.11932124660721216 0.16574286058311516 1 1 0.6353373119291459 0.36466268807085406
14 0.11341975797499627 0.16524466862330597 1 1 0.6519520530550497 0.3480479469449503
15 0.10777007939663422 0.16461156152764958 1 1 0.6532961358371075 0.3467038641628925
16 0.10238860750253045 0.1641236629949079 1 1 0.6583353894825116 0.3416646105174884
17 0.09727149771239416 0.1642693579562436 1 1 0.6756604200508972 0.3243395799491027
18 0.09240868861982122 0.1647548898787523 1 1 0.6800872740504281 0.3199127259495719
19 0.08778850690053559 0.1659032333377509 1 1 0.6974369094615248 0.3025630905384751
20 0.0833991649503716 0.16716512463752398 1 1 0.6957467861270202 0.3042532138729798
21 0.07922923422315772 0.16820171207499496 1 1 0.6891217027378531 0.3108782972621469
22 0.07526778159370039 0.1692349748892331 1 1 0.6922136365788881 0.307786363421112
23 0.07150439551097654 0.17021079232816627 1 1 0.6915533698623886 0.3084466301376116
24 0.0679291767244249 0.17151993406841007 1 1 0.7031904398827822 0.2968095601172179
25 0.06453271821457272 0.17333577169536218 1 2 0.7167072570508313 0.28329274294916873
26 0.0778060824115459 0.1753940986634391 1 2 0.721085158297638 0.27891484170236214
27 0.0793607783265102 0.17781899082986033 1 3 0.7319790596107368 0.2680209403892631
28 0.09368958942191344 0.180528117473535 2 3 0.7395714891606647 0.26042851083933527
