TYPE SHA SHB XAB XBA PERIOD
M4C0 0.04278469491785191, 0.036529864828886496, 0.04301538669417021, 0.03684771933334025, 73888
M8C0 0.1934748650492941 0.37881399033187585 0.22057396922090874 0.458150870646369 8781
M12C0 0.1680083882854797 0.32432886176454745 0.22305669655339913 0.4589339337309521 4478
