SHA SHB XAB XBA DIAp DIBp
0.19198999315209353 0.19198999315209353 0 0 0.5103028227907125 0.4896971772092875
0.18420338976368691 0.18420338976368691 0 0 0.5350363190608242 0.46496368093917584
0.177032658286358 0.177032658286358 0 0 0.5436721891521237 0.4563278108478763
0.17050885333437435 0.17050885333437435 0 0 0.5501458611743011 0.44985413882569875
0.16434152862657195 0.16434152862657195 0 0 0.5481798403438194 0.4518201596561805
0.15826609827278187 0.15826609827278187 0 0 0.5413171863968527 0.45868281360314733
0.15261874986428522 0.15261874986428522 0 0 0.5472488878652944 0.45275111213470576
0.14742851400348725 0.14742851400348725 0 0 0.5513010904763422 0.4486989095236577
0.14296161391424525 0.14296161391424525 0 0 0.5636089112798487 0.4363910887201512
0.13911904603910713 0.13911904603910713 0 0 0.5711217990595897 0.42887820094041035
0.13609916023480312 0.13609916023480312 0 0 0.5862196141473295 0.4137803858526706
0.13354696827768445 0.13354696827768445 1 0 0.58951103364838 0.4104889663516201
0.13162719691676558 0.1481271969167656 1 1 0.6016413410587961 0.3983586589412039
0.14630104781766862 0.16742104781766864 1 0 0.5965215248261441 0.40347847517385593
0.14950832444590273 0.18786917444590276 0 1 0.6063063476573602 0.39369365234263964
0.16592507725512418 0.1919058452551242 1 1 0.6187818319759933 0.3812181680240066
0.18567747274319188 0.20690672930819187 1 0 0.6110373809219213 0.3889626190780786
0.18969582062932547 0.22522429826452545 0 0 0.6226111284097362 0.3773888715902638
0.1889307807651428 0.2277518602050713 0 0 0.6312126686241479 0.36878733137585196
0.1870584545062888 0.22561125845076208 0 0 0.6423240877030169 0.3576759122969831
0.1852171498702666 0.22239433051477484 0 0 0.6518826627905827 0.3481173372094173
0.18418231604197807 0.2196828032303562 1 0 0.6741572635078279 0.325842736492172
0.184061057028922 0.23434663449799267 0 1 0.6931293630157166 0.30687063698428346
0.2012967188571001 0.238032855283954 1 1 0.7102946042193949 0.28970539578060495
0.22377030434403303 0.25502803043385236 0 1 0.7216256238033921 0.27837437619660793
0.24759303115870848 0.2595861417838585 1 1 0.7355625139408203 0.2644374860591797
0.2713325934737503 0.27688447794478405 0 1 0.7444092121956913 0.25559078780430877
0.2947185783488453 0.2815651502907839 0 0 0.7585840597181811 0.24141594028181892
0.3007756283852161 0.2821987246892284 0 0 0.7605641258398438 0.23943587416015627
0.3014449680250468 0.2817901309903848 0 0 0.768073878919187 0.23192612108081306
0.30050013456979363 0.2811658024741185 0 1 0.7710222726211831 0.22897772737881691
0.3154374367829811 0.2803512831108834 0 0 0.7666746063484065 0.23332539365159355
0.3186964065752227 0.27984744298693187 1 0 0.7770690812314313 0.22293091876856883
0.3185277848053968 0.29630062058858714 1 1 0.7874551763811001 0.2125448236188999
0.3340211829563081 0.31774956284372097 1 1 0.7944527838403802 0.20554721615961974
0.35375927762504006 0.33989981986289836 1 1 0.7900189084078054 0.20998109159219452
0.37421292462739 0.36157397159714466 1 1 0.7914148522467055 0.20858514775329448
0.39449023866884614 0.3826573187985636 1 0 0.800037232764758 0.19996276723524192
0.39716772963963326 0.4024839039806535 0 1 0.788968970127181 0.2110310298728189
0.41095116470036275 0.4049654882362022 1 0 0.7954291086156183 0.2045708913843816
0.4109639813514067 0.41813569482137136 1 1 0.7866234477868914 0.21337655221310867
0.4234538514378857 0.4345101542509548 1 1 0.7955498618681465 0.20445013813185353
0.4399807910080658 0.45188452643596033 1 1 0.8120324036738817 0.18796759632611826
0.457759212143668 0.4695298425594759 1 1 0.8283812751248777 0.17161872487512234
0.4755272189195863 0.48686180479517543 1 1 0.834224404749087 0.165775595250913
0.49278499920293084 0.5036031764883292 1 1 0.8368991513000082 0.16310084869999183
0.5096731875484739 0.5199670618017865 1 1 0.8480658090912939 0.15193419090870602
0.5260188753456522 0.53580353581092 1 1 0.8522815919310428 0.1477184080689572
0.541576294171344 0.5508735299884733 1 1 0.850141758344116 0.14985824165588393
0.5565509775932195 0.5653839483832835 1 1 0.8557648022654881 0.1442351977345119
0.5708629592524386 0.5792544784350505 1 0 0.8564204895707256 0.1435795104292743
0.568330616059467 0.5928026242705251 0 1 0.8668108997521167 0.13318910024788325
0.5774353605812095 0.589628789827615 1 1 0.8769002954767029 0.12309970452329712
0.5897722194591252 0.5977078343203576 1 1 0.873533516661212 0.12646648333878788
0.6027263718939896 0.6090613188476189 1 0 0.8740580766217735 0.1259419233782265
0.5986593624486387 0.6207802792902879 1 1 0.8655514310535677 0.13444856894643234
0.6057588820633679 0.6320876497507161 1 1 0.8615035066023076 0.13849649339769243
0.6162092305510334 0.6429751457609819 1 1 0.864168837502139 0.135831162497861
0.6275497810639307 0.6535560838626813 1 1 0.8699204692567837 0.13007953074321627
0.6388957334451753 0.6637926866092573 0 1 0.8731396200331218 0.12686037996687827
0.6500456187893517 0.6572607429119683 1 0 0.8786647376687763 0.12133526233122373
0.6442297116780168 0.6621598757380264 0 1 0.8777312746275461 0.12226872537245387
0.649963438112282 0.6541521066966539 1 1 0.8829911713600678 0.11700882863993217
0.6593751594844627 0.6591155488396457 1 1 0.890544645812122 0.10945535418787801
0.6695114056390831 0.6678659564125168 1 1 0.8871133135506427 0.11288668644935726
0.6794974397634038 0.6774726526905491 1 1 0.885968274053227 0.11403172594677304
0.6891865171255244 0.6871106380047989 1 1 0.8885339362490909 0.11146606375090903
0.6985968396137741 0.6965744850865854 1 1 0.8927437896645438 0.10725621033545617
0.7076479138287712 0.7057100881383173 1 1 0.8940585527876476 0.1059414472123524
0.7161585400718398 0.7143121313323324 1 1 0.8902824118160854 0.10971758818391461
0.7243410853986181 0.722585190566006 1 1 0.8941143967267562 0.10588560327324384
