TYPE SHA SHB XAB XBA
GR4 0.014590842470828945 0.054188107642010507 0.014452802718054297 0.0 
GRA12 0.029996328763571965 0.2564036523010949 0.0011696914858625594 0.0 
GRB12 0.25243288520228563 0.1364213671031469 0.3530749800259122 0.0 

 
