Period SHA SHB XAB XBA DIAp DIBp
0 0.19219244747357758 0.19165000000000001 0 0 0.4835621977703766 0.5164378022296234
1 0.18381020632154335 0.182612 0 0 0.4847311043829073 0.5152688956170927
2 0.17547878281563464 0.173661085 0 0 0.4862408785749782 0.5137591214250219
3 0.16777699271306698 0.16503732679999997 0 0 0.47610150330731915 0.5238984966926808
4 0.16095550300681327 0.15680502815649996 0 0 0.46322573494578745 0.5367742650542126
5 0.15503922656535662 0.14897123408851995 0 0 0.45108272932781474 0.5489172706721853
6 0.14993100925045907 0.14152480330624279 0 0 0.4412015321382256 0.5587984678617745
7 0.1464565047747713 0.13444926634523977 0 0 0.4045572587144549 0.5954427412855452
8 0.1446982554355496 0.12772703508539976 0 0 0.3715969477617802 0.6284030522382199
9 0.1436975128592758 0.12134075991007903 1 0 0.36673151064657206 0.6332684893534278
10 0.14395856021975514 0.13177374718562834 1 0 0.3367076715476691 0.6632923284523309
11 0.14478880882575554 0.1306300681657945 1 0 0.3311811507317601 0.6688188492682399
12 0.1465940803850309 0.1258954175095225 2 0 0.30619958433463473 0.6938004156653652
13 0.14863213327496674 0.13669360804221223 2 0 0.30657569851510436 0.6934243014848956
14 0.15051910284475642 0.13549960490479634 3 0 0.311296471105874 0.6887035288941261
15 0.15251220592562817 0.14708604815690582 3 0 0.30472945254418105 0.6952705474558191
16 0.15521529628267544 0.1457910155031858 3 0 0.28219965334234753 0.7178003466576526
17 0.1585752085749868 0.14050102374688783 3 0 0.2662967911864645 0.7337032088135356
18 0.16179100717068523 0.13413582703576768 4 0 0.27349286123270106 0.726507138767299
19 0.16597131937590193 0.1441467876611333 4 0 0.23963157316111613 0.7603684268388838
20 0.17101676364218835 0.14245630643053747 5 0 0.21833467911988758 0.7816653208801124
21 0.17685513814170417 0.15365405429932266 5 0 0.19740335442277818 0.8025966455772218
22 0.18248869022529507 0.15201713743715953 5 0 0.2052160967957637 0.7947839032042362
23 0.18853287606566307 0.14641138989672653 5 0 0.18510792773607146 0.8148920722639285
24 0.19540344489807313 0.13974920648126044 6 0 0.1578312751619875 0.8421687248380124
25 0.20246410583583385 0.1494790135633896 6 0 0.15294687839740537 0.8470531216025946
26 0.2094089363083869 0.14752176112926355 7 0 0.15109512684650095 0.848904873153499
27 0.21600356912932145 0.15846618349333472 7 0 0.15355673229938901 0.8464432677006111
28 0.22285416962094307 0.1565886427574443 8 0 0.1357787070275487 0.8642212929724512
29 0.22985658320447674 0.1672543142043683 8 0 0.12665560570569978 0.8733443942943001
30 0.23691136036692334 0.1649949826771326 9 0 0.11940254420124971 0.8805974557987503
31 0.24410741835734756 0.1752593503236603 9 0 0.10845709326396548 0.8915429067360345
32 0.2509418023865745 0.1726060413450041 9 0 0.11345398896363357 0.8865460110363664
33 0.25766422611207257 0.16599192659513773 9 0 0.10647288750649463 0.8935271124935054
34 0.26436671831957886 0.15835767208011753 9 0 0.09918897138433178 0.9008110286156682
35 0.27120789109154975 0.15065935127497473 10 0 0.08799313549625715 0.9120068645037429
36 0.27800069677490524 0.15969883943485083 10 0 0.08383144330576972 0.9161685566942303
37 0.2847231491275008 0.15718280785190447 10 0 0.07860814809627427 0.9213918519037259
38 0.29127795416837116 0.151128407887612 11 0 0.07619570533021404 0.9238042946697859
39 0.29792257190935306 0.16066755183457132 11 0 0.06522733862698471 0.9347726613730152
40 0.3044718456969654 0.15827571047548494 12 0 0.06222447621885361 0.9377755237811464
41 0.3109546184281517 0.16872363190848264 12 0 0.05668538698126898 0.943314613018731
42 0.31743080287564446 0.16634681360879322 12 0 0.04967227534518389 0.9503277246548162
43 0.3237237536098856 0.16002906281594603 13 0 0.04858791496102371 0.9514120850389762
44 0.3297569743018082 0.16918747433805426 14 0 0.048329503555478964 0.9516704964445211
45 0.3357142778968477 0.18289085595991036 15 0 0.04203795311417282 0.9579620468858272
46 0.3416244157551688 0.19756002242370527 16 0 0.03669843967210339 0.9633015603278966
47 0.3473551056474176 0.21204054535891084 17 0 0.03568849692535244 0.9643115030746476
48 0.3529762776831545 0.2259768310295743 18 0 0.03148494564529295 0.968515054354707
49 0.3584425981782642 0.23927563274783656 18 0 0.02943065562751936 0.9705693443724805
50 0.3638215824906015 0.23542907338945923 19 0 0.025056973451749027 0.9749430265482509
51 0.36913441566573346 0.24283630307206108 20 0 0.020771375556079816 0.9792286244439202
52 0.37433446542106485 0.2535234534246427 21 0 0.01816728849304249 0.9818327115069576
53 0.37938764111953716 0.26488083937045154 22 0 0.016267736612678038 0.983732263387322
54 0.3841996003491535 0.2760678717455525 22 0 0.017052284071219923 0.98294771592878
55 0.38879663542779885 0.2703267326916706 23 0 0.016388712974022664 0.9836112870259774
56 0.39319315472509064 0.2759709400531077 24 0 0.015756482213099485 0.9842435177869006
57 0.39742777083255126 0.28499537256913915 24 0 0.014294606331813115 0.9857053936681869
58 0.4015274713780099 0.27827718718184885 24 0 0.01254609943453926 0.9874539005654608
59 0.4054780779583803 0.2668487502923414 25 0 0.011620583317199649 0.9883794166828004
60 0.409246550907475 0.2708265021926874 26 0 0.011712927340776601 0.9882870726592233
61 0.41284851886934393 0.27950083958999083 27 0 0.011202692493087753 0.9887973075069122
