Period SHA SHB XAB XBA DIAp DIBp
0 0.1917988759517533 0.19165000000000001 0 0 0.4954886075226276 0.5045113924773724
1 0.1828025612182442 0.18370804869002236 0 0 0.5332135966673445 0.4667864033326555
2 0.17385833074847792 0.17707737201080484 0 0 0.561010445078068 0.4389895549219321
3 0.16523006041613217 0.17104674483875715 0 0 0.5600055130075444 0.43999448699245564
4 0.15698989064300134 0.1661888196848763 0 0 0.5837194671713477 0.41628053282865235
5 0.14914743608258427 0.16198647770343608 0 0 0.5875134246589324 0.4124865753410676
6 0.14169238746912693 0.15852019852750787 0 0 0.5993243041914674 0.4006756958085326
7 0.1346085347485923 0.15602622589303125 0 0 0.6182767435711637 0.38172325642883637
8 0.12787836100662683 0.15381763589099692 0 0 0.6151560298875945 0.38484397011240534
9 0.12148452644479867 0.1525685528343405 0 0 0.6392788094342347 0.3607211905657653
10 0.11541032767376477 0.15179611237817006 0 0 0.6433392000618716 0.3566607999381285
11 0.10963982038197453 0.15147892983082992 0 0 0.6518226454647873 0.3481773545352126
12 0.10415783236320214 0.15161678762711045 0 0 0.6609648083092264 0.3390351916907737
13 0.09894994173514972 0.1527903573506316 0 0 0.6881670815119822 0.31183291848801775
14 0.09400244497512777 0.1547456940809492 0 0 0.7032090785830266 0.29679092141697333
15 0.0893023228341941 0.15690987382968039 0 0 0.7040958313784368 0.2959041686215632
16 0.0848372067280659 0.15998797327691908 0 0 0.7320033293729014 0.2679966706270987
17 0.0805953464034045 0.16347855872145842 0 0 0.738945405230509 0.26105459476949094
18 0.0765655790871091 0.1672452201180124 0 0 0.7469361992987814 0.2530638007012187
19 0.07273730013403233 0.17115062725985192 0 0 0.752341626302219 0.24765837369778101
20 0.06910043512775269 0.17498155347690217 0 0 0.752731123978443 0.247268876021557
21 0.0656454133715043 0.17908966225402864 0 0 0.7657271348350737 0.23427286516492624
22 0.06236314270297503 0.18325272298679735 0 0 0.7689294641408941 0.23107053585910592
23 0.059244985567841434 0.18776761252647814 0 0 0.7832950369701668 0.21670496302983328
24 0.05628273628945436 0.19226959591237022 0 0 0.7841448646920957 0.21585513530790432
25 0.053468599474983294 0.1970322894913453 0 0 0.7967379772897669 0.20326202271023305
26 0.05079516950123467 0.20181765763431556 0 0 0.7997831940582317 0.20021680594176836
27 0.04825541102617312 0.2069434361430989 0 0 0.8147411250518707 0.18525887494812945
28 0.04584264047486452 0.21284106286618773 0 0 0.8401000082236072 0.15989999177639283
29 0.043550508451121316 0.21928834766169675 0 0 0.8554107401163019 0.14458925988369808
30 0.041372983028565256 0.22581060850652226 0 0 0.8590059608515237 0.14099403914847627
31 0.03930433387713699 0.23233024185644546 0 0 0.8648351503042088 0.13516484969579123
32 0.03733911718328014 0.23857729784301412 0 0 0.8632186070775352 0.13678139292246477
33 0.03547216132411613 0.24485200850204084 0 0 0.8729878207569214 0.12701217924307848
34 0.033698553257910324 0.25127461776086474 0 0 0.8835766591526484 0.11642334084735158
35 0.032013625595014805 0.2576259538094566 0 0 0.8865317497254401 0.11346825027455976
36 0.030412944315264062 0.26379236019487023 0 0 0.8880524844483905 0.11194751555160949
37 0.028892297099500856 0.26991123717504945 0 0 0.8946288680266709 0.10537113197332908
38 0.027447682244525814 0.27624382384026136 0 0 0.9077680356754516 0.0922319643245484
39 0.026075298132299522 0.2828264181061787 0 0 0.9197423165158235 0.08025768348417656
40 0.024771533225684546 0.28954539378315397 0 0 0.9281823448838539 0.07181765511614614
41 0.02353295656440032 0.29649500054152256 0 0 0.9406963204658315 0.059303679534168555
42 0.022356308736180303 0.3034394151927706 0 0 0.9454028924436514 0.0545971075563487
43 0.021238493299371285 0.3102860373218768 0 0 0.9495384407544774 0.05046155924552274
44 0.02017656863440272 0.31702587113047676 0 0 0.9541818188305456 0.04581818116945431
45 0.01916774020268258 0.3236675075814474 0 0 0.9590625828741082 0.04093741712589184
46 0.01820935319254845 0.3302517581117626 0 0 0.9649987577852833 0.03500124221471674
47 0.017298885532921027 0.33672983950804725 0 0 0.9690106894477225 0.030989310552277577
48 0.016433941256274974 0.3429653645579667 0 0 0.9692453380516313 0.030754661948368713
49 0.015612244193461225 0.34897047323410046 0 0 0.9708973116871469 0.02910268831285305
50 0.014831631983788163 0.3547812423911853 0 0 0.9732932860745236 0.026706713925476366
51 0.014090050384598755 0.36033726063413885 0 0 0.9733185979488521 0.02668140205114778
52 0.013385547865368818 0.36568918349458207 0 0 0.9751942234097255 0.02480577659027438
53 0.012716270472100376 0.37085278404324884 0 0 0.9768594054238271 0.023140594576172926
54 0.012080456948495357 0.3758446753158579 0 0 0.9786869929106331 0.021313007089366894
55 0.011476434101070588 0.3806989930027023 0 0 0.9812168604837179 0.01878313951628205
56 0.010902612396017058 0.3853756879327387 0 0 0.9820691697212467 0.017930830278753373
57 0.010357481776216206 0.389934067483646 0 0 0.9849188253359898 0.015081174664010183
58 0.009839607687405395 0.394347815412562 0 0 0.9862874909214747 0.013712509078525207
59 0.009347627303035125 0.3986216618645333 0 0 0.9879026755326364 0.012097324467363545
60 0.008880245937883368 0.40272408478455346 0 0 0.9883756887814844 0.011624311218515641
61 0.008436233640989199 0.40665521911655494 0 0 0.988978229904779 0.011021770095221052
62 0.008014421958939739 0.41039902900869385 0 0 0.988919670286697 0.011080329713302908
63 0.007613700860992752 0.41395574256864537 0 0 0.9888302009259766 0.011169799074023332
64 0.007233015817943114 0.4173559102924563 0 0 0.9894744060247188 0.0105255939752811
