Period SHA SHB XAB XBA DIAp DIBp
0 0.1917496459975223 0.19165000000000001 0 0 0.49698042431750583 0.5030195756824942
1 0.18287667985320277 0.182612 0 0 0.49584445526138715 0.5041555447386128
2 0.1743490710069877 0.173661085 0 0 0.48847167226935173 0.5115283277306482
3 0.16620168788120898 0.16503732679999997 0 0 0.4888873901138245 0.5111126098861755
4 0.15815954851222494 0.15680502815649996 0 0 0.4975811580312703 0.5024188419687297
5 0.15053085726229354 0.14897123408851995 0 0 0.49421623280592025 0.5057837671940798
6 0.1430964788371532 0.14162404297707634 0 0 0.5030072627525316 0.49699273724746834
7 0.13597206915982707 0.13487222727793877 0 0 0.508967701637335 0.49103229836266504
8 0.12930235955124067 0.12823731344244818 0 0 0.49639826842092266 0.5036017315790773
9 0.12287977654398227 0.12200388241482914 0 0 0.5043201351554326 0.4956798648445674
10 0.11674982425698335 0.11677922318014962 0 0 0.5247470137386615 0.4752529862613385
11 0.11091696510240025 0.11208431936021375 0 0 0.5259130553536722 0.4740869446463279
12 0.10537264542650804 0.10781252436525379 0 0 0.5289358197320332 0.4710641802679667
13 0.10010451758632781 0.10390346838623804 0 0 0.5315718581254607 0.4684281418745392
14 0.09509945816928932 0.10020751386816333 0 0 0.5306151734025971 0.469384826597403
15 0.09034454019337657 0.09639372743586518 0 0 0.5212680916273256 0.47873190837267443
16 0.08582733131144979 0.09270682036864179 0 0 0.5223607529819264 0.4776392470180736
17 0.08153597072803218 0.08916452896989609 0 0 0.5217949227023733 0.4782050772976268
18 0.07745917416574168 0.08535488463533761 0 0 0.5087235072557522 0.49127649274424784
19 0.07358621610891125 0.0814887142356955 0 0 0.5056830828644179 0.49431691713558207
20 0.06990690551844639 0.07796257080899849 0 0 0.5125991794086848 0.4874008205913152
21 0.06641156031346769 0.07462896058760772 0 0 0.5116236928781874 0.4883763071218125
22 0.0630909823212057 0.07170915327438848 0 0 0.5189499900264127 0.48105000997358727
23 0.05993643321287118 0.06915146796874169 0 0 0.5230282097496808 0.4769717902503192
24 0.05693961155477712 0.06692387872963398 0 0 0.526994523671679 0.4730054763283209
25 0.0540926309778796 0.06490128100405848 0 0 0.5278091344947731 0.472190865505227
26 0.051387999429263254 0.06338093017656883 0 0 0.5390280749428552 0.4609719250571447
27 0.04881859945789171 0.06176746823358671 0 0 0.5298917940106348 0.4701082059893653
28 0.046377669485027355 0.06066894469434556 0 0 0.5447426353245122 0.45525736467548794
29 0.044058786010785965 0.059884403450909895 0 0 0.5482501676780913 0.4517498323219087
30 0.04185584671024996 0.05929400107706104 0 0 0.5503539036840517 0.4496460963159484
31 0.039763054374738545 0.05876046348810429 0 0 0.5496334118583762 0.4503665881416237
32 0.037774901656001975 0.05799997908859949 0 0 0.5416743988328676 0.4583256011671323
33 0.035886156573201995 0.057092792904792654 0 0 0.5386128780274548 0.4613871219725453
34 0.034091848744541936 0.0557054769872746 0 0 0.5245362276792711 0.47546377232072884
35 0.03238725630731485 0.054587195205037436 0 0 0.5358416738478315 0.46415832615216845
36 0.03076789349194911 0.05376801940429941 0 0 0.5412144417382447 0.45878555826175527
37 0.029229498817351655 0.053015603340850516 0 0 0.5395643697008035 0.46043563029919654
38 0.027768023876484072 0.05236463610483427 0 0 0.5412405427816205 0.45875945721837946
