SHA SHB XAB XBA
0.09094972095987025 0.09562546822666956 1 1
0.09949960581501746 0.17635437498271556 1 0
0.09164686109491324 0.1813741570076028 1 1
0.15561283564780243 0.23296956732111773 0 0
0.18341740937688467 0.24177211364035214 0 1
0.2376858941264389 0.22956223693659158 0 1
0.2881833841500725 0.21451055245100872 0 1
0.2957271716091372 0.20404776220617193 0 1
0.3341774892929894 0.19304151743795786 0 1
0.345820233639759 0.18076744542598025 1 1
0.4086303645395047 0.23781835104472432 0 1
0.45967305886243065 0.2613697598843964 0 1
0.49697447120419636 0.2771014636292352 0 0
0.5082402212916293 0.2650930436692683 0 1
0.5518428995132739 0.250092621095098 0 1
0.5497977661451845 0.23521005365460884 0 1
0.5781806933874041 0.22935832242362036 0 0
0.5354802571258203 0.21656886672292888 1 1
0.5567309844025209 0.21792548814191187 1 1
0.5879007915131237 0.2396267422280669 0 1
0.5988827521862512 0.2298715777503761 0 0
0.5480191843200249 0.2265297619374676 1 1
0.5515306010912038 0.29431197844607204 0 0
0.5310977858943287 0.28376105230231646 0 1
0.5566761558504503 0.2876257950795308 0 1
0.5899686844985217 0.29387131631268665 0 1
0.6078169916929081 0.2898735352432466 0 1
0.6349908619604279 0.3092606519202647 0 0
0.585499766513987 0.30706625720669434 1 0
0.5358304613471357 0.3549977129561168 1 1
0.546277836206933 0.41068415416259296 0 1
0.5742202507601193 0.45467346036890477 1 0
0.5641802739933609 0.4935446764525227 1 0
0.5463781221679757 0.5236362959532498 1 0
0.5197538372705978 0.555965801459105 1 0
0.4798857976420526 0.570392847520255 1 1
0.4852947007537231 0.6011320290704243 1 0
0.4486150732920555 0.6375249435888818 1 0
0.41543129115440053 0.6508013415069993 1 1
0.4503414493916597 0.6739196077714752 1 0
0.4154224569042716 0.6687318279488192 1 1
0.39664401023090323 0.6580161984220245 1 0
0.38821976899123495 0.6780304141899981 1 0
0.35630908563807046 0.6675186915580739 1 1
0.4180873228536611 0.6703324868699211 1 0
0.4214833487334542 0.6609999457186254 1 1
0.46010552109164227 0.6441678757595941 0 1
0.48639704235267267 0.584972241065102 0 1
0.515686472355126 0.5433793542617126 1 0
0.5196882910933384 0.5390356382302096 1 1
0.5148161691334726 0.5578794980015072 1 0
0.4695388408328978 0.5582961036753937 1 0
0.4529156126306326 0.5799629252525211 1 1
0.4835908549462571 0.5962678969923826 0 0
0.4504411589656024 0.5682330788848297 1 1
0.48965245404442187 0.6015317269718812 0 0
0.4798768347392397 0.5435081957543363 0 1
0.48272005483901376 0.5013937861727609 0 1
0.4831973190991691 0.46255867535509654 0 1
0.48802215420207734 0.4391537465360858 0 1
0.537085180615437 0.4028989476917248 0 1
0.5440860001196756 0.383083519070034 1 1
0.5758354332909835 0.39847301182267736 0 0
0.524633597439959 0.3820729733352596 1 1
0.5060134005132698 0.4123433219531512 1 0
0.4731170334244779 0.45050727990045186 1 0
0.44237153714871325 0.44376837073175457 1 1
0.4794622021082961 0.46937688372782377 1 0
0.44556389355730536 0.4816197047322993 1 1
